abstract;classe
third men mortal affluent countri tea green tea demonstr promis prevent green tea compon catechin categori properti evid epidemiolog not comprehens strengthen anim vitro evid consumpt tea associ decreas risk evid potenti biolog mechan role green tea prevent review;Positive
inhibitori effect green tea cyclooxygenas inhibitor growth human cell vitro vivo cyclooxygenas cox inhibitor hold promis concern new strategi need approach overcom limit dose cox inhibitor agent complementari mechan effect epigallocatechingal egcg promis agent green tea test alon specif cox inhibitor growth human cell vitro vivo human cell lncap pc cwrrnu egcg ns alon effect growth apoptosi vivo athym nude mice implant androgensensit cwrrnu cell green tea drink water celecoxib ip daili per alon effect growth egcg micromol ns micromol result enhanc cell growth inhibit apoptosi express bax procaspas procaspas polyadpribos polymeras cleavag inhibit pparg inhibit nuclear factorkappab compar addit effect agent alon synerg vivo green tea celecoxib result enhanc growth inhibit prostatespecif antigen level insulinlik growth factori level circul level serum insulinlik growth bind protein compar result singleag synergist addit effect combinatori agent underscor need ration design human clinic trial;Positive
combretastatinchalcon hybrid synthesi cytotox seri alltransarylarylarylpentanedieneon hybrid chalcon combretastatin synthes against panel cell line murin hct colon human epidermoid carcinoma human umbil venous endotheli cell huvec structureact seri reveal dihydroxyphenyl pentanedieneon essenti cytotox alltransdihydroxyphenyl methoxyphenyl trimethoxyphenyl pentanedieneon potent compound seri;Positive
effect acetylsalicyl celecoxib nnitrosodiethylamin induc carcinogenesi esophagus effect nonsteroid antiinflammatori acetylsalicyl celecoxib nnitrosodiethylamin induc carcinogenesi esophagus inhibitori effect celecoxib carcinogenesi pronounc acetylsalicyl manifest decreas neoplast chang tissu esophagus delay malign esophagus eros ulcer gastric mucosa after celecoxib indic celecoxib inhibit nnitrosodiethylamin induc carcinogenesi esophagus;Positive
compar antiprolif antiangiogen apoptosi induc potenti black tea hamster buccal pouch carcinogenesi model efficaci black tea polyphenonb pb btf dimethylbenz anthracen dmba induc hamster buccal pouch hbp carcinogenesi hamster right buccal pouch anim paint dmba hamster receiv anim receiv pb btf dmba paint continu until end anim pb btf alon anim serv untreat control anim sacrif aftesr express cyclin glutathion stransferas pi gstp nuclear kappa nfkappab bcl bax cytochrom caspas caspas polyadpribos polymeras parp cytokeratin vascular endotheli growth vegf analys rtpcr immunohistochem western blot analys dmba anim buccal pouch carcinoma display express cyclin gstp nfkappab cytokeratin vegf bcl decreas express bax cytochrom caspas caspas parp pb btf dmba induc hbp carcinoma modul cell prolifer cell surviv infiltr angiogenesi apoptosi result mechanist potenti black tea greater efficaci btf inhibit hbp carcinogenesi modul molecular target potenti role prevent oral ;Positive
licochalcon suppress migrat invas human hepatocellular carcinoma cell downregul mkk jnk via nfkb mediat urokinas plasminogen activ express hepatocellular cell carcinoma hcc common diagnos taiwan bioactiv compound potenti revers suppress prevent licochalcon lica characterist chalcon licoric root glycyrrhiza inflat report lica antiinflammatori antimicrobi antitumor properti effect lica migrat invas human hcc cell not yet report lica inhibit migratori invas abil skhep hat vgh cell dosedepend manner cell migrat matrigel cell invas assay casein zymographi western blot revers transcriptas polymeras chain immunofluoresc assay lica induc dosedepend inhibit upa activ express well mrna level skhep hat vgh cell lica inhibit express phosphorjnk phosphormkk skhep cell furthermor lica decreas upa level sptreat simkktransfect cell alongsid mark reduct cell migrat invas support notion inhibit mkk jnk result antimetastat effect moreov lica inhibit express nuclear nfkb well bind abil nfkb upa promot role lica suppress metastasi molecular mechan well lica promis antimetastat agent;Positive
curcumin regul colon inhibit pglycoprotein insitu colon perfus model pglycoprotein carri out world vide cell line like caco mdrllcpk mdrmdck invitro result fail produc result invivo curcumin inhibitori action pglycoprotein permeabl irinotecan colon curcumin add intrarect administ nnitroso nmethyl urea induc colon singl pass whole length colon insitu perfus carri out irinotecan influenc pglycoprotein modul like verapamil curcumin serv control perfus irinotecan propronolol red ii induc nmethyl nnitroso urea iii perfus irinotican iv perfus irinotican presenc verapamil pretreat curcumin perfus irinotican estim hplcuv effect permeabl coeffici qrtpcr western blot result confirm decreas express pglycoprotein pgp curcumin colon cell irinotecan cm verapamilcoperfus where curcumin pretreat irinotecan cm cm pglycoprotein inhibitori activ verapamil curcumin enhanc colon permeabl irinotecan safe suitabl pglycoprotein inhibitor irinotecan enhanc therapeut benefit colon ;Positive
design synthesi biolog new inhibitor bax bclxl interact cell describ synthesi seri new molecul triazol moieti compound abil inhibit bax bclxl interact cell bret assay induc cell death deriv exhibit promis activ potent compound acylpyrogallol abt preliminari result demonstr deriv famili attract new molecul potent anticanc activ;Positive
isosuillin isol suillus luteus induc phase arrest apoptosi human hepatoma smmc cell isosuillin natur isol suillus luteus inhibit growth cell line molecular mechan action compound poor understood purpos isosuillin inhibit prolifer induc apoptosi human hepatoma cell line smmc demonstr effect isosuillin cell prolifer apoptosi smmc cell appar normal human coloni format assay dimethylthiazolyl diphenyltetrazolium bromid mtt western blot express phaseregul apoptosisassoci protein level isosuillin smmc cell result indic isosuillin decreas viabil induc phase arrest trigger apoptosi smmccell taken togeth result potenti isosuillin candid ;Positive
hypoxia differenti regul cxcr cxcr signal colon hifalpha cxcr cxcl crucial role metastat signific target hifalpha cxcr cxcl axi prevent dissemin vitro cxcr cxcr mrna protein express human colon carcinoma modul express hypoxia hifalpha colon cell line migrat cell boyden chamber after cxcr inhibit sirna cxcr cxcl neutraligand chalcon cohort colon polyp chromosomeunst carcinoma express cxcr cxcr normal mucosa polyp earlystag carcinoma late stage carcinoma demonstr hypoxia strong induc express cxcr transcript protein cell membran regul hifalpha cxcr express independ hypoxia after transient hypoxia cxcr level stabl cell membran up hour furthermor cxcr express impair cxcl induc akt phosphoryl erk activ unchang cxcr express did not akt erk activ presenc cxcr cxcr sirna signific reduct cell migrat occur irinotecan inhibit cell migrat irinotecan chalcon inhibit demonstr hypoxia upregul cxcr not cxcr express cell cxcr receptor protein level cell membran cell return normoxia up hour addit interest inhibit cxcr signal inhibit hifalpha cxcr cxcl pathway cxcr relev target continu express normox hypox condit cell;Positive
proapoptot properti pomegran juic leukemia cell line pomegran great promis anticanc agent clinic trial pomegran juic pgj induc apoptosi preferenti alter cell cycl leukemia cell line compar nontumor control cell agent not yet fulli elucid leukemia cell line fraction pgj solid phase extract demonstr acetonitril fraction decreas adenosin triphosph atp level leukemia cell line acetonitril fraction activ caspas induc nuclear morpholog characterist apoptosi phase arrest induc acetonitril fraction match phase arrest whole pgj acetonitril fraction content whole pgj low level fraction liquid chromatographi mass spectrometri lcms demonstr acetonitril fraction enrich ellagitannin ellag hydroxycinnam deriv deplet anthocyanin individu compound demonstr ellagitannin punicalagin activ mimick acetonitril fraction bioactiv compon pomegran confin acetonitril fraction pgj enrich ellagitannin hydroxycinnam bioactiv pgj individu compound demonstr ellagitannin punicalagin activ agent highlight compound key bioactiv agent pgj;Positive
